Model Name,Trained,Training set size,Evaluation set size,Final_decision,Training_acc,Eval_acc,Test_acc,Keep ratio,Batch_processed,Training_IoU,Eval_IoU,Test_IoU,Test set size
1020000010,Y,140945.0,33543.0,250.0,0.9927342534065248,0.9896843433380128,0.988897442817688,0.1,Y,0.9760189652442932,0.8908535242080688,0.8776439428329468,33089.0
8020000010,Y,10579.0,2846.0,215.0,0.9902628660202026,0.9909058809280396,0.9907962679862976,1.0,Y,0.9616923332214355,0.857021152973175,0.8494101762771606,3198.0
4020000010,Y,53536.0,13892.0,175.0,0.994559645652771,0.9962690472602844,0.9928424954414368,0.25,Y,0.9748687148094176,0.818600058555603,0.7826582789421082,14033.0
5020000010,Y,36006.0,8999.0,280.0,0.9715548753738404,0.9676909446716307,0.9644594788551332,0.3,Y,0.9309145212173462,0.8211331963539124,0.8226673007011414,9063.0
2020000010,Y,63802.0,14604.0,205.0,0.9938126802444458,0.9897308349609376,0.9890122413635254,0.2,Y,0.9761273264884948,0.865146279335022,0.8626129627227783,15836.0
9020000010,N,1257.0,448.0,135.0,0.9811534285545348,0.976909041404724,0.95809805393219,1.0,,0.9220317602157592,0.8019570708274841,0.6055742502212524,476.0
7020000010,Y,137534.0,33926.0,120.0,0.9894971251487732,0.987423300743103,0.9870465993881226,0.1,Y,0.939841628074646,0.7972688674926758,0.7951734066009521,33727.0
6020000010,Y,34333.0,8271.0,75.0,0.968722939491272,0.9651086330413818,0.9685686230659484,0.4,Y,0.8991775512695312,0.707974374294281,0.6553485989570618,7047.0
3020000010,Y,36824.0,8847.0,245.0,0.993060827255249,0.9894675612449646,0.988781213760376,0.37,Y,0.9622327089309692,0.8254931569099426,0.8119400143623352,8676.0
1020011530,Y,122579.0,31215.0,215.0,0.9954521059989928,0.9920286536216736,0.994967758655548,0.15,,0.9827765226364136,0.8577659726142883,0.8768694400787354,29666.0
8020008900,Y,30236.0,7336.0,165.0,0.9948566555976868,0.9945119619369508,0.9944779872894288,0.45,,0.9834376573562622,0.9014288187026978,0.8982369899749756,7110.0
4020006940,Y,39727.0,10584.0,225.0,0.9916430711746216,0.9840217232704164,0.984308660030365,0.35,Y,0.952659547328949,0.7508994340896606,0.7529755234718323,10258.0
5020015660,Y,27770.0,7016.0,195.0,0.9836997985839844,0.9754710793495178,0.9763633608818054,0.55,Y,0.966022253036499,0.8192484378814697,0.8391906023025513,6100.0
2020003440,Y,85142.0,19283.0,180.0,0.99579256772995,0.99449360370636,0.9941415190696716,0.2,Y,0.9738857746124268,0.8538914918899536,0.8386757373809814,19530.0
7020014250,Y,39706.0,10384.0,170.0,0.998521625995636,0.998181402683258,0.9982195496559144,0.35,Y,0.9792032837867736,0.9125512838363647,0.911107897758484,10549.0
6020006540,Y,66411.0,17198.0,155.0,0.9898852705955504,0.9854739904403688,0.9862741827964784,0.28,,0.9429100751876832,0.8182069659233093,0.8256726861000061,16586.0
3020003790,Y,63997.0,16855.0,180.0,0.9994202256202698,0.999338924884796,0.9992819428443908,0.29,Y,0.9956679940223694,0.933784008026123,0.9415151476860046,16179.0
1020018110,Y,102925.0,26384.0,155.0,0.9990551471710204,0.9984758496284484,0.9985687136650084,0.18,Y,0.9968119263648988,0.9553924202919006,0.9574435353279114,24084.0
1020021940,Y,80673.0,19423.0,125.0,0.992464542388916,0.9913986921310424,0.990244448184967,0.21,Y,0.9393388628959656,0.8126816749572754,0.8031076192855835,19432.0
1020027430,Y,119663.0,29315.0,120.0,0.9836949110031128,0.9822849631309508,0.9834084510803224,0.17,,0.8678367137908936,0.7063441872596741,0.7331337928771973,30316.0
1020034170,Y,116823.0,30411.0,230.0,0.9984267950057985,0.997038185596466,0.9971016049385072,0.17,,0.9938743114471436,0.9114795327186584,0.91745263338089,28484.0
1020035180,Y,109716.0,27559.0,130.0,0.9832851886749268,0.9788645505905152,0.9754726886749268,0.18,,0.8802220225334167,0.6497844457626343,0.6620079278945923,24671.0
2020018240,Y,37511.0,8698.0,155.0,0.9964843392372132,0.9963691234588624,0.9956594109535216,0.4,,0.9698739647865297,0.8191243410110474,0.844143271446228,9771.0
2020024230,Y,33593.0,8273.0,125.0,0.9964213371276855,0.9962907433509828,0.9963005781173706,0.44,,0.9865681529045104,0.8265913724899292,0.8227787613868713,8630.0
2020033490,Y,18104.0,4613.0,125.0,0.9947453737258912,0.9942055940628052,0.9940763115882874,1.0,,0.9710514545440674,0.8946868777275085,0.8868798017501831,4373.0
2020041390,Y,20605.0,5295.0,140.0,0.9938744306564332,0.992170512676239,0.9936425685882568,1.0,,0.9656478762626648,0.8925058245658875,0.8965029716491699,4757.0
2020057170,N,281.0,102.0,135.0,0.9811534285545348,0.976909041404724,0.977029263973236,1.0,,0.9220317602157592,0.8019570708274841,0.7933849096298218,2053.0
3020005240,Y,7575.0,1478.0,125.0,0.9881774187088012,0.9891907572746276,0.9874738454818726,1.0,,0.942781388759613,0.8253732323646545,0.8428723812103271,1299.0
3020008670,Y,35696.0,8348.0,155.0,0.9961070418357848,0.9948054552078248,0.994850754737854,0.4,,0.9383253455162048,0.8253524303436279,0.8315446376800537,8456.0
4020015090,Y,74322.0,17896.0,155.0,0.9826067686080932,0.9816809296607972,0.9771324992179872,0.25,,0.9176909923553468,0.7460169196128845,0.7574423551559448,18318.0
4020024190,Y,99566.0,25730.0,145.0,0.9862754940986632,0.9804953932762146,0.9797820448875428,0.18,,0.9114325642585754,0.6825028657913208,0.6938109993934631,25121.0
5020037270,Y,7583.0,2345.0,115.0,0.9875524044036864,0.9809043407440186,0.985490620136261,1.0,,0.9252309799194336,0.4485816955566406,0.4970533549785614,2025.0
5020049720,Y,169612.0,42467.0,150.0,0.9816325902938844,0.9766778349876404,0.9820892214775084,0.13,,0.7279199361801147,0.6122331023216248,0.6596518158912659,39565.0
6020008320,Y,112645.0,31090.0,140.0,0.995551347732544,0.9929136037826538,0.9931424260139464,0.18,,0.9446712136268616,0.7961823344230652,0.7856685519218445,29088.0
7020021430,Y,28820.0,7183.0,105.0,0.9954291582107544,0.9952378869056702,0.9951106309890748,0.5,,0.9630398154258728,0.8504877686500549,0.8527048230171204,7321.0
7020024600,Y,21502.0,5422.0,180.0,0.9969124794006348,0.9965882897377014,0.9965530037879944,0.57,,0.9585524201393129,0.8727280497550964,0.8755490779876709,5348.0
7020047840,Y,80277.0,19547.0,195.0,0.993099570274353,0.9893841743469238,0.9885222911834716,0.23,,0.9741746187210084,0.8168466687202454,0.7928715348243713,19552.0
8020010700,Y,10488.0,2802.0,100.0,0.988144874572754,0.9886420369148254,0.9885977506637572,1.0,,0.943070948123932,0.9154911637306212,0.9136430621147156,1930.0
8020020760,N,2677.0,608.0,215.0,0.9902628660202026,0.9909058809280396,0.9892549514770508,1.0,,0.9616923332214355,0.857021152973175,0.8618242144584656,580.0
8020022890,N,2375.0,448.0,135.0,0.9811534285545348,0.976909041404724,0.9811824560165404,1.0,,0.9220317602157592,0.8019570708274841,0.8750288486480713,346.0
8020032840,N,4066.0,1127.0,135.0,0.9811534285545348,0.976909041404724,0.9821453094482422,1.0,,0.9220317602157592,0.8019570708274841,0.8652903437614441,1092.0
8020044560,N,12.0,6.0,135.0,0.9811534285545348,0.976909041404724,0.9878082275390624,1.0,,0.9220317602157592,0.8019570708274841,0.7285542488098145,4.0
1020040190,Y,140335.0,34946.0,180.0,0.9903125166893004,0.9860950112342834,0.989696204662323,0.14,,0.8325105905532837,0.8165948390960693,0.8132224082946777,33506.0
2020065840,Y,100964.0,25903.0,130.0,0.9718191027641296,0.9771587252616882,0.9634457230567932,0.2,,0.9376078248023988,0.8491437435150146,0.84819495677948,24799.0
2020071190,Y,123338.0,30881.0,135.0,0.9932855367660522,0.9923095107078552,0.9914655685424804,0.17,,0.9635874629020692,0.8666837215423584,0.8653879165649414,30804.0
3020009320,Y,12947.0,3337.0,60.0,0.9817965626716614,0.975654363632202,0.9772400856018066,1.0,,0.9111394882202148,0.8354151844978333,0.8326928019523621,3334.0
3020024310,Y,88253.0,21994.0,135.0,0.9985485672950744,0.998901665210724,0.998036801815033,0.2,,0.9965838193893432,0.9546842575073242,0.9505372643470764,22428.0
4020034510,Y,16572.0,4747.0,185.0,0.9973322153091432,0.996878981590271,0.9969595074653624,1.0,,0.9925389289855956,0.8489128947257996,0.8448984622955322,4575.0
4020050210,Y,55058.0,13328.0,160.0,0.983510971069336,0.9758004546165466,0.976962685585022,0.38,,0.9628005623817444,0.7514581084251404,0.748599648475647,14358.0
4020050220,Y,108574.0,28365.0,275.0,0.9878913760185242,0.9920685887336732,0.9869431853294371,0.17,,0.9518603682518004,0.8435797691345215,0.8057421445846558,29123.0
4020050290,Y,85089.0,21373.0,140.0,0.983150839805603,0.9756867289543152,0.980720579624176,0.21,,0.9338716864585876,0.6968553066253662,0.6839104294776917,20731.0
4020050470,Y,19721.0,5274.0,145.0,0.9995841979980468,0.9996201992034912,0.999679148197174,1.0,,0.9993260502815248,0.9604336619377136,0.961502194404602,5165.0
5020082270,Y,13812.0,4057.0,225.0,0.9992197155952454,0.998992085456848,0.9993114471435548,1.0,,0.9976062774658204,0.9039890170097352,0.9049833416938782,3979.0
6020014330,Y,131650.0,34637.0,205.0,0.992184042930603,0.9907572865486144,0.9911622405052184,0.13,,0.9488479495048524,0.7204133868217468,0.7073296308517456,34926.0
6020017370,Y,60722.0,16300.0,130.0,0.9886574149131776,0.985251486301422,0.9843095541000366,0.3,,0.9300801157951356,0.7057970762252808,0.6938181519508362,16059.0
6020021870,Y,52141.0,13072.0,185.0,0.989119291305542,0.9801991581916808,0.9871853590011596,0.4,,0.9706569314002992,0.8223630785942078,0.8415006995201111,12725.0
6020029280,Y,12255.0,3219.0,105.0,0.9525631666183472,0.9360640048980712,0.940053164958954,1.0,,0.8075235486030579,0.4128246605396271,0.4027356803417206,3023.0
7020038340,Y,66488.0,15960.0,95.0,0.9938027262687684,0.992247760295868,0.9928613305091858,0.3,,0.9630422592163086,0.7734761834144592,0.7811172008514404,15847.0
7020046750,Y,75508.0,19397.0,155.0,0.9944167733192444,0.9927001595497132,0.9927834868431092,0.28,,0.9538145661354064,0.7511580586433411,0.7375760078430176,18909.0
7020065090,Y,55471.0,16443.0,100.0,0.9742158651351928,0.9681549072265624,0.9657670855522156,0.4,,0.9355775117874146,0.8397119045257568,0.8420979380607605,14700.0
